point num,ROS -> PCL2 (XYZRGB/XYZ),ROS -> PCL2 (XYZRGB/XYZRGB),ROS -> PCL2 (XYZRGBNORMAL/XYZ),ROS -> PCL2 (XYZRGBNORMAL/XYZRGB),ROS -> PCL2 (XYZRGBNORMAL/XYZNORMAL),ROS -> PCL2 (XYZRGBNORMAL/NORMAL),ROS -> PCL2 (XYZRGBNORMAL/XYZRGBNORMAL),PCL2 -> PCL (XYZRGB/XYZ),PCL2 -> PCL (XYZRGB/XYZRGB),PCL2 -> PCL (XYZRGBNORMAL/XYZ),PCL2 -> PCL (XYZRGBNORMAL/XYZRGB),PCL2 -> PCL (XYZRGBNORMAL/XYZNORMAL),PCL2 -> PCL (XYZRGBNORMAL/NORMAL),PCL2 -> PCL (XYZRGBNORMAL/XYZRGBNORMAL),PCL -> PCL2 (XYZRGB/XYZ),PCL -> PCL2 (XYZRGB/XYZRGB),PCL -> PCL2 (XYZRGBNORMAL/XYZ),PCL -> PCL2 (XYZRGBNORMAL/XYZRGB),PCL -> PCL2 (XYZRGBNORMAL/XYZNORMAL),PCL -> PCL2 (XYZRGBNORMAL/NORMAL),PCL -> PCL2 (XYZRGBNORMAL/XYZRGBNORMAL),PCL2 -> ROS (XYZRGB/XYZ),PCL2 -> ROS (XYZRGB/XYZRGB),PCL2 -> ROS (XYZRGBNORMAL/XYZ),PCL2 -> ROS (XYZRGBNORMAL/XYZRGB),PCL2 -> ROS (XYZRGBNORMAL/XYZNORMAL),PCL2 -> ROS (XYZRGBNORMAL/NORMAL),PCL2 -> ROS (XYZRGBNORMAL/XYZRGBNORMAL),ROS -> PCL (XYZRGB/XYZ),ROS -> PCL (XYZRGB/XYZRGB),ROS -> PCL (XYZRGBNORMAL/XYZ),ROS -> PCL (XYZRGBNORMAL/XYZRGB),ROS -> PCL (XYZRGBNORMAL/XYZNORMAL),ROS -> PCL (XYZRGBNORMAL/NORMAL),ROS -> PCL (XYZRGBNORMAL/XYZRGBNORMAL),PCL -> ROS (XYZRGB/XYZ),PCL -> ROS (XYZRGB/XYZRGB),PCL -> ROS (XYZRGBNORMAL/XYZ),PCL -> ROS (XYZRGBNORMAL/XYZRGB),PCL -> ROS (XYZRGBNORMAL/XYZNORMAL),PCL -> ROS (XYZRGBNORMAL/NORMAL),PCL -> ROS (XYZRGBNORMAL/XYZRGBNORMAL)
419840,0.003,0.004,0.006,0.006,0.005,0.006,0.005,0.067,0.011,0.069,0.096,0.097,0.096,0.014,0.006,0.006,0.009,0.008,0.008,0.009,0.009,0.003,0.004,0.006,0.004,0.004,0.005,0.006,0.071,0.014,0.073,0.099,0.101,0.101,0.02,0.006,0.006,0.009,0.007,0.008,0.009,0.008,
430080,0.003,0.005,0.007,0.007,0.005,0.007,0.006,0.07,0.011,0.07,0.098,0.099,0.098,0.014,0.005,0.006,0.01,0.008,0.008,0.009,0.009,0.003,0.004,0.005,0.004,0.005,0.005,0.005,0.072,0.014,0.075,0.102,0.103,0.104,0.021,0.006,0.006,0.01,0.008,0.008,0.009,0.009,
440320,0.003,0.004,0.007,0.005,0.005,0.007,0.008,0.071,0.011,0.072,0.101,0.102,0.101,0.014,0.006,0.006,0.009,0.009,0.008,0.009,0.009,0.003,0.004,0.006,0.004,0.005,0.006,0.006,0.074,0.015,0.078,0.104,0.106,0.106,0.02,0.006,0.006,0.009,0.008,0.008,0.009,0.009,
450560,0.003,0.005,0.006,0.005,0.006,0.007,0.007,0.072,0.012,0.074,0.103,0.104,0.104,0.014,0.006,0.006,0.01,0.009,0.008,0.009,0.01,0.004,0.004,0.006,0.005,0.005,0.006,0.006,0.075,0.016,0.079,0.106,0.108,0.108,0.02,0.006,0.006,0.01,0.008,0.008,0.01,0.009,
460800,0.003,0.004,0.006,0.006,0.005,0.007,0.007,0.074,0.012,0.076,0.105,0.106,0.106,0.015,0.006,0.007,0.01,0.009,0.009,0.01,0.01,0.003,0.004,0.006,0.004,0.005,0.006,0.006,0.078,0.016,0.08,0.11,0.11,0.11,0.022,0.006,0.006,0.01,0.008,0.009,0.01,0.01,
471040,0.005,0.005,0.007,0.005,0.005,0.007,0.007,0.075,0.012,0.076,0.108,0.108,0.108,0.016,0.007,0.006,0.011,0.008,0.009,0.01,0.01,0.003,0.004,0.006,0.006,0.005,0.006,0.006,0.079,0.017,0.083,0.111,0.114,0.113,0.022,0.007,0.006,0.01,0.009,0.009,0.01,0.01,
481280,0.004,0.004,0.007,0.005,0.006,0.007,0.007,0.077,0.012,0.078,0.11,0.111,0.11,0.016,0.006,0.007,0.011,0.009,0.008,0.011,0.011,0.004,0.004,0.006,0.005,0.006,0.006,0.006,0.08,0.017,0.084,0.114,0.115,0.115,0.023,0.007,0.006,0.011,0.01,0.009,0.01,0.01,
491520,0.004,0.005,0.007,0.006,0.006,0.007,0.008,0.078,0.013,0.08,0.112,0.113,0.111,0.016,0.007,0.006,0.011,0.009,0.009,0.011,0.01,0.004,0.005,0.006,0.006,0.006,0.007,0.007,0.082,0.017,0.087,0.116,0.117,0.118,0.024,0.007,0.007,0.01,0.009,0.009,0.01,0.01,
501760,0.004,0.005,0.008,0.006,0.006,0.008,0.008,0.081,0.013,0.082,0.115,0.115,0.115,0.016,0.007,0.007,0.011,0.009,0.01,0.011,0.011,0.003,0.004,0.007,0.006,0.005,0.006,0.007,0.085,0.017,0.088,0.118,0.12,0.121,0.024,0.006,0.007,0.01,0.01,0.009,0.011,0.01,
512000,0.004,0.006,0.007,0.007,0.006,0.008,0.007,0.082,0.013,0.084,0.116,0.117,0.116,0.017,0.007,0.007,0.011,0.01,0.01,0.011,0.011,0.003,0.005,0.007,0.006,0.006,0.007,0.007,0.086,0.017,0.089,0.121,0.122,0.123,0.025,0.008,0.007,0.011,0.01,0.01,0.011,0.011,
522240,0.004,0.006,0.008,0.007,0.008,0.008,0.006,0.083,0.013,0.085,0.118,0.12,0.119,0.016,0.008,0.008,0.011,0.011,0.011,0.011,0.01,0.003,0.004,0.007,0.007,0.007,0.007,0.006,0.088,0.018,0.092,0.125,0.127,0.125,0.023,0.007,0.007,0.011,0.012,0.011,0.011,0.01,
532480,0.005,0.004,0.008,0.007,0.006,0.006,0.006,0.086,0.014,0.087,0.122,0.122,0.12,0.017,0.007,0.008,0.011,0.012,0.012,0.011,0.011,0.005,0.003,0.007,0.006,0.006,0.006,0.006,0.09,0.016,0.094,0.126,0.146,0.127,0.044,0.008,0.007,0.011,0.012,0.012,0.012,0.012,
542720,0.006,0.004,0.008,0.007,0.006,0.007,0.007,0.087,0.015,0.089,0.124,0.126,0.123,0.016,0.008,0.007,0.012,0.012,0.01,0.011,0.012,0.004,0.004,0.007,0.006,0.006,0.006,0.006,0.094,0.017,0.095,0.129,0.149,0.13,0.045,0.007,0.007,0.012,0.011,0.013,0.011,0.012,
552960,0.006,0.003,0.009,0.007,0.007,0.007,0.007,0.088,0.015,0.09,0.127,0.127,0.125,0.017,0.008,0.008,0.012,0.012,0.012,0.012,0.012,0.005,0.004,0.008,0.006,0.006,0.006,0.006,0.094,0.017,0.097,0.132,0.152,0.132,0.045,0.008,0.008,0.012,0.011,0.013,0.012,0.013,
