point num,ROS -> PCL2 (XYZRGB/XYZ),ROS -> PCL2 (XYZRGB/XYZRGB),ROS -> PCL2 (XYZRGBNORMAL/XYZ),ROS -> PCL2 (XYZRGBNORMAL/XYZRGB),ROS -> PCL2 (XYZRGBNORMAL/XYZNORMAL),ROS -> PCL2 (XYZRGBNORMAL/NORMAL),ROS -> PCL2 (XYZRGBNORMAL/XYZRGBNORMAL),PCL2 -> PCL (XYZRGB/XYZ),PCL2 -> PCL (XYZRGB/XYZRGB),PCL2 -> PCL (XYZRGBNORMAL/XYZ),PCL2 -> PCL (XYZRGBNORMAL/XYZRGB),PCL2 -> PCL (XYZRGBNORMAL/XYZNORMAL),PCL2 -> PCL (XYZRGBNORMAL/NORMAL),PCL2 -> PCL (XYZRGBNORMAL/XYZRGBNORMAL),PCL -> PCL2 (XYZRGB/XYZ),PCL -> PCL2 (XYZRGB/XYZRGB),PCL -> PCL2 (XYZRGBNORMAL/XYZ),PCL -> PCL2 (XYZRGBNORMAL/XYZRGB),PCL -> PCL2 (XYZRGBNORMAL/XYZNORMAL),PCL -> PCL2 (XYZRGBNORMAL/NORMAL),PCL -> PCL2 (XYZRGBNORMAL/XYZRGBNORMAL),PCL2 -> ROS (XYZRGB/XYZ),PCL2 -> ROS (XYZRGB/XYZRGB),PCL2 -> ROS (XYZRGBNORMAL/XYZ),PCL2 -> ROS (XYZRGBNORMAL/XYZRGB),PCL2 -> ROS (XYZRGBNORMAL/XYZNORMAL),PCL2 -> ROS (XYZRGBNORMAL/NORMAL),PCL2 -> ROS (XYZRGBNORMAL/XYZRGBNORMAL),ROS -> PCL (XYZRGB/XYZ),ROS -> PCL (XYZRGB/XYZRGB),ROS -> PCL (XYZRGBNORMAL/XYZ),ROS -> PCL (XYZRGBNORMAL/XYZRGB),ROS -> PCL (XYZRGBNORMAL/XYZNORMAL),ROS -> PCL (XYZRGBNORMAL/NORMAL),ROS -> PCL (XYZRGBNORMAL/XYZRGBNORMAL),PCL -> ROS (XYZRGB/XYZ),PCL -> ROS (XYZRGB/XYZRGB),PCL -> ROS (XYZRGBNORMAL/XYZ),PCL -> ROS (XYZRGBNORMAL/XYZRGB),PCL -> ROS (XYZRGBNORMAL/XYZNORMAL),PCL -> ROS (XYZRGBNORMAL/NORMAL),PCL -> ROS (XYZRGBNORMAL/XYZRGBNORMAL)
409600,0.0025,0.0034,0.005,0.0039,0.004,0.0051,0.0049,0.0562,0.0091,0.0573,0.08,0.0805,0.077,0.0112,0.0054,0.0052,0.0081,0.0069,0.007,0.0078,0.0079,0.0024,0.0032,0.005,0.004,0.0039,0.0048,0.0048,0.0587,0.0117,0.0612,0.0829,0.0831,0.0808,0.0154,0.0054,0.0052,0.0081,0.007,0.007,0.008,0.0079,
419840,0.0026,0.0034,0.0051,0.004,0.0042,0.0052,0.0051,0.0577,0.0094,0.0587,0.082,0.0825,0.0819,0.0119,0.0055,0.0052,0.0084,0.0072,0.0072,0.0083,0.0083,0.0025,0.0034,0.0051,0.004,0.004,0.005,0.0051,0.0602,0.0118,0.0627,0.085,0.0852,0.0862,0.0163,0.0055,0.0054,0.0083,0.0072,0.0071,0.0083,0.0083,
430080,0.0026,0.0035,0.0052,0.0039,0.0041,0.0054,0.0052,0.0592,0.0096,0.0601,0.084,0.0845,0.0837,0.0122,0.0057,0.0055,0.0086,0.0074,0.0073,0.0086,0.0084,0.0025,0.0034,0.0052,0.0041,0.0041,0.005,0.0052,0.0617,0.0122,0.0642,0.0871,0.0873,0.0883,0.0168,0.0056,0.0055,0.0076,0.0074,0.0074,0.0085,0.0085,
440320,0.0027,0.0035,0.0054,0.0043,0.0042,0.0054,0.0054,0.0606,0.0098,0.0617,0.0827,0.0865,0.0858,0.0125,0.0057,0.0056,0.0088,0.0075,0.0076,0.0088,0.0087,0.0026,0.0035,0.0054,0.0041,0.0042,0.0052,0.0053,0.0631,0.0125,0.0644,0.0868,0.0894,0.0904,0.0172,0.0057,0.0057,0.0088,0.0075,0.0075,0.0087,0.0088,
450560,0.0027,0.0036,0.0055,0.0044,0.0045,0.0057,0.0055,0.062,0.0101,0.0631,0.0881,0.0886,0.0879,0.0128,0.0059,0.0057,0.009,0.0077,0.0077,0.0088,0.0089,0.0027,0.0036,0.0055,0.0044,0.0043,0.0054,0.0054,0.0647,0.0128,0.0673,0.0914,0.0916,0.0926,0.0178,0.0059,0.0057,0.009,0.0077,0.0077,0.0089,0.0089,
460800,0.0029,0.0036,0.0056,0.0044,0.0044,0.0057,0.0056,0.0634,0.0103,0.0646,0.0901,0.0906,0.0865,0.0128,0.0061,0.0058,0.0092,0.0079,0.008,0.009,0.0084,0.0027,0.0037,0.0056,0.0045,0.0044,0.0054,0.0055,0.0662,0.0132,0.0689,0.0935,0.0938,0.0913,0.0178,0.006,0.0059,0.0092,0.0079,0.0078,0.009,0.009,
471040,0.0028,0.0036,0.0057,0.0045,0.0046,0.006,0.0059,0.0624,0.0102,0.0634,0.0921,0.0926,0.092,0.0134,0.0061,0.006,0.0094,0.0081,0.0082,0.0093,0.0093,0.0027,0.0037,0.0056,0.0046,0.0045,0.0057,0.0057,0.0653,0.0131,0.0687,0.0956,0.0958,0.0968,0.0187,0.0061,0.0059,0.0095,0.0081,0.008,0.0094,0.0093,
481280,0.0029,0.0039,0.0058,0.0048,0.0047,0.0061,0.0059,0.0664,0.0108,0.0675,0.0941,0.0946,0.0938,0.0138,0.0064,0.0062,0.0096,0.0083,0.0083,0.0095,0.0095,0.0028,0.0038,0.0059,0.0047,0.0047,0.0058,0.0058,0.0693,0.0138,0.072,0.0977,0.0978,0.0989,0.0192,0.0064,0.0061,0.0097,0.0082,0.0082,0.0095,0.0095,
491520,0.0029,0.0038,0.006,0.0049,0.0049,0.0061,0.0061,0.0678,0.0111,0.0689,0.0962,0.0967,0.0959,0.0141,0.0064,0.0063,0.0098,0.0085,0.0082,0.0098,0.0095,0.0029,0.0038,0.0061,0.0048,0.0047,0.0059,0.0058,0.0708,0.0142,0.0735,0.0997,0.0999,0.1011,0.0196,0.0064,0.0062,0.0098,0.0085,0.0084,0.0097,0.0098,
501760,0.003,0.004,0.0061,0.005,0.0049,0.0064,0.0063,0.0692,0.0113,0.0704,0.0982,0.0987,0.0979,0.0144,0.0066,0.0065,0.0101,0.0086,0.0087,0.01,0.01,0.003,0.0038,0.0061,0.0049,0.0049,0.0061,0.0061,0.0723,0.0145,0.0752,0.1019,0.1023,0.1032,0.0202,0.0065,0.0064,0.01,0.0088,0.0086,0.0099,0.01,
512000,0.0032,0.0041,0.0061,0.0052,0.0052,0.0063,0.0063,0.0707,0.0116,0.0718,0.1002,0.1006,0.1002,0.0147,0.0067,0.0066,0.0103,0.0089,0.0089,0.0102,0.0102,0.0031,0.004,0.0064,0.005,0.0051,0.0062,0.0063,0.0736,0.0149,0.0768,0.104,0.1045,0.1055,0.0207,0.0068,0.0066,0.0103,0.0089,0.0089,0.0103,0.0102,
522240,0.0032,0.0043,0.0067,0.0066,0.0065,0.0065,0.0051,0.072,0.0117,0.0725,0.1011,0.1025,0.1018,0.014,0.0069,0.0067,0.0103,0.0104,0.0104,0.0104,0.0088,0.0031,0.0042,0.0065,0.0064,0.0065,0.0066,0.005,0.0753,0.0151,0.0791,0.1076,0.1079,0.1073,0.0199,0.0069,0.0067,0.0103,0.0103,0.0104,0.0105,0.0088,
532480,0.0043,0.0032,0.0067,0.0053,0.0054,0.0053,0.0054,0.0731,0.0123,0.0744,0.1048,0.1046,0.1028,0.0145,0.007,0.007,0.0106,0.0107,0.0106,0.0107,0.0106,0.0043,0.0032,0.0066,0.0052,0.0053,0.0052,0.0053,0.0784,0.014,0.0806,0.1087,0.1264,0.1089,0.0387,0.007,0.007,0.0107,0.0106,0.0107,0.0107,0.0107,
542720,0.0044,0.0033,0.0068,0.0054,0.0055,0.0054,0.0054,0.0746,0.0125,0.0758,0.1069,0.1067,0.1049,0.0148,0.007,0.0072,0.0109,0.0109,0.0109,0.0109,0.0109,0.0044,0.0033,0.0068,0.0054,0.0054,0.0054,0.0053,0.08,0.0143,0.0822,0.1107,0.1288,0.1108,0.0384,0.0071,0.0071,0.0108,0.0109,0.011,0.0109,0.011,
552960,0.0045,0.0034,0.007,0.0055,0.0056,0.0056,0.0055,0.0729,0.0129,0.0773,0.1088,0.1086,0.1068,0.0151,0.0072,0.0073,0.011,0.0111,0.0111,0.011,0.0111,0.0044,0.0033,0.007,0.0055,0.0055,0.0056,0.0055,0.0798,0.0146,0.0837,0.1128,0.1312,0.113,0.0404,0.0073,0.0073,0.0111,0.0111,0.0111,0.0111,0.0112,
563200,0.0046,0.0034,0.0072,0.0058,0.0057,0.0058,0.0057,0.0777,0.0132,0.0787,0.1109,0.1109,0.1088,0.0154,0.0074,0.0074,0.0112,0.0113,0.0113,0.0113,0.0114,0.0045,0.0034,0.0071,0.0056,0.0056,0.0056,0.0056,0.0832,0.015,0.0853,0.1151,0.1333,0.1151,0.0412,0.0074,0.0075,0.0113,0.0113,0.0114,0.0113,0.0113,
